"iso3c","year","country","cov","gen","gdp","pop","pop_i","gdp_i","cov_i","gen_i"
"AFG",1820,"country.name",NA,NA,NA,3280,3280,NA,NA,NA
"AFG",1870,"country.name",NA,NA,NA,4207,4207,NA,NA,NA
"AFG",1880,"country.name",NA,NA,NA,NA,4561.18604651163,NA,NA,NA
"AFG",1890,"country.name",NA,NA,NA,NA,4915.37209302326,NA,NA,NA
"AFG",1900,"country.name",NA,NA,NA,NA,5269.55813953488,NA,NA,NA
"AFG",1910,"country.name",NA,NA,NA,NA,5623.74418604651,NA,NA,NA
"AFG",1913,"country.name",NA,NA,NA,5730,5730,NA,NA,NA
"AFG",1920,"country.name",NA,NA,NA,NA,6187.83783783784,NA,NA,NA
"AFG",1930,"country.name",NA,NA,NA,NA,6841.89189189189,NA,NA,NA
"AFG",1940,"country.name",NA,NA,NA,NA,7495.94594594595,NA,NA,NA
"AFG",1946,"country.name",3,0,NA,NA,7888.37837837838,NA,3,0
"AFG",1950,"country.name",NA,NA,1156,8150,8150,1156,3,0
"AFG",1951,"country.name",NA,NA,1170,8284,8284,1170,3,0
"AFG",1952,"country.name",NA,NA,1189,8425,8425,1189,3,0
"AFG",1953,"country.name",NA,NA,1240,8573,8573,1240,3,0
"AFG",1954,"country.name",NA,NA,1245,8728,8728,1245,3,0
"AFG",1955,"country.name",NA,NA,1246,8891,8891,1246,3,0
"AFG",1956,"country.name",NA,NA,1278,9062,9062,1278,3,0
"AFG",1957,"country.name",NA,NA,1253,9241,9241,1253,3,0
"AFG",1958,"country.name",NA,NA,1298,9429,9429,1298,3,0
"AFG",1959,"country.name",NA,NA,1307,9625,9625,1307,3,0
"AFG",1960,"country.name",NA,NA,1326,9829,9829,1326,3,0
"AFG",1961,"country.name",NA,NA,1309,10043,10043,1309,3,0
"AFG",1962,"country.name",NA,NA,1302,10267,10267,1302,3,0
"AFG",1963,"country.name",NA,NA,1298,10501,10501,1298,3,0
"AFG",1964,"country.name",NA,NA,1291,10744,10744,1291,3,0
"AFG",1965,"country.name",NA,NA,1290,10998,10998,1290,3,0
"AFG",1966,"country.name",NA,NA,1272,11262,11262,1272,3,0
"AFG",1967,"country.name",NA,NA,1277,11538,11538,1277,3,0
"AFG",1968,"country.name",NA,NA,1290,11825,11825,1290,3,0
"AFG",1969,"country.name",NA,NA,1278,12123,12123,1278,3,0
"AFG",1970,"country.name",NA,NA,1272,12431,12431,1272,3,0
"AFG",1971,"country.name",NA,NA,1237,12749,12749,1237,3,0
"AFG",1972,"country.name",NA,NA,1007,13079,13079,1007,3,0
"AFG",1973,"country.name",NA,NA,1011,13421,13421,1011,3,0
"AFG",1974,"country.name",NA,NA,1039,13772,13772,1039,3,0
"AFG",1975,"country.name",NA,NA,1074,14132,14132,1074,3,0
"AFG",1976,"country.name",NA,NA,1105,14501,14501,1105,3,0
"AFG",1977,"country.name",NA,NA,1022,14880,14880,1022,3,0
"AFG",1978,"country.name",NA,NA,1070,15269,15269,1070,3,0
"AFG",1979,"country.name",NA,NA,1023,15556,15556,1023,3,0
"AFG",1980,"country.name",NA,NA,1019,15044,15044,1019,3,0
"AFG",1981,"country.name",NA,NA,1144,13676,13676,1144,3,0
"AFG",1982,"country.name",NA,NA,1270,12583,12583,1270,3,0
"AFG",1983,"country.name",NA,NA,1347,12439,12439,1347,3,0
"AFG",1984,"country.name",NA,NA,1337,12769,12769,1337,3,0
"AFG",1985,"country.name",NA,NA,1304,13120,13120,1304,3,0
"AFG",1986,"country.name",NA,NA,1344,13126,13126,1344,3,0
"AFG",1987,"country.name",12,40,1211,13056,13056,1211,12,40
"AFG",1988,"country.name",NA,NA,1101,13169,13169,1101,12,40
"AFG",1989,"country.name",NA,NA,999,13503,13503,999,12,40
"AFG",1990,"country.name",3,40,963,13568,13568,963,3,40
"AFG",1991,"country.name",NA,NA,881.170438588735,13672,13672,881.170438588735,3,40
"AFG",1992,"country.name",NA,NA,843.875348899883,15023,15023,843.875348899883,3,40
"AFG",1993,"country.name",NA,NA,578.402744031048,17003,17003,578.402744031048,3,40
"AFG",1994,"country.name",NA,NA,428.424558289543,18486,18486,428.424558289543,3,40
"AFG",1995,"country.name",NA,NA,632.940396261985,19445,19445,632.940396261985,3,40
"AFG",1996,"country.name",NA,NA,600.175264462535,20111,20111,600.175264462535,3,40
"AFG",1997,"country.name",NA,NA,570.598118955881,20769,20769,570.598118955881,3,40
"AFG",1998,"country.name",NA,NA,545.038752668709,21452,21452,545.038752668709,3,40
"AFG",1999,"country.name",NA,NA,518.657866732878,22206,22206,518.657866732878,3,40
"AFG",2000,"country.name",0,40,502.372745598633,22461,22461,502.372745598633,0,40
"AFG",2001,"country.name",NA,NA,489.681996907494,22507,22507,489.681996907494,0,40
"AFG",2002,"country.name",NA,NA,796.816563246003,23600,23600,796.816563246003,0,40
"AFG",2003,"country.name",NA,NA,842.805165479659,25005,25005,842.805165479659,0,40
"AFG",2004,"country.name",NA,NA,869.039272786813,25698,25698,869.039272786813,0,40
"AFG",2005,"country.name",NA,NA,964.4081099473,26335,26335,964.4081099473,0,40
"AFG",2006,"country.name",NA,NA,1057.09655092876,27154,27154,1057.09655092876,0,40
"AFG",2007,"country.name",NA,NA,1259.99674275737,27387,27387,1259.99674275737,0,40
"AFG",2008,"country.name",NA,NA,1319.60736728553,27706,27706,1319.60736728553,0,40
"AFG",2009,"country.name",NA,NA,1557.32063657228,28484,28484,1557.32063657228,0,40
"AFG",2010,"country.name",0,40,1627.67163410066,29121,29121,1627.67163410066,0,40
"AFG",2011,"country.name",NA,NA,1792,29758,29758,1792,0,40
"AFG",2012,"country.name",NA,NA,1945,30420,30420,1945,0,40
"AFG",2013,"country.name",NA,NA,2025,31108,31108,2025,0,40
"AFG",2014,"country.name",NA,NA,2022,31823,31823,2022,0,40
"AFG",2015,"country.name",NA,NA,1928,32564,32564,1928,0,40
"AFG",2016,"country.name",NA,NA,1931.2438124834,33332,33332,1931.2438124834,0,40
"AFG",2017,"country.name",NA,NA,1909.73301493299,34124.811,34124.811,1909.73301493299,0,40
"AFG",2018,"country.name",4.2,40,1888.81392781004,34940.837,34940.837,1888.81392781004,4.2,40
"AFG",2019,"country.name",NA,NA,2031.73734930784,35972.024915857,35972.024915857,2031.73734930784,4.2,40
"AFG",2020,"country.name",NA,NA,1928.45468284413,37033.6456607217,37033.6456607217,1928.45468284413,4.2,40
"AFG",2021,"country.name",NA,NA,1485.54700630816,38126.5973803805,38126.5973803805,1485.54700630816,4.2,40
"AFG",2022,"country.name",NA,NA,1357.98782252128,39251.804727056,39251.804727056,1357.98782252128,4.2,40
"AGO",1880,"country.name",NA,NA,NA,NA,NA,NA,NA,NA
"AGO",1890,"country.name",NA,NA,NA,NA,NA,NA,NA,NA
"AGO",1900,"country.name",NA,NA,NA,NA,NA,NA,NA,NA
"AGO",1910,"country.name",NA,NA,NA,NA,NA,NA,NA,NA
"AGO",1920,"country.name",NA,NA,NA,NA,NA,NA,NA,NA
"AGO",1930,"country.name",NA,NA,NA,NA,NA,NA,NA,NA
"AGO",1940,"country.name",NA,NA,NA,NA,NA,NA,NA,NA
"AGO",1950,"country.name",NA,NA,1677,4117.617,4117.617,1677,NA,NA
"AGO",1951,"country.name",NA,NA,1715,4173.095,4173.095,1715,NA,NA
"AGO",1952,"country.name",NA,NA,1755,4232.095,4232.095,1755,NA,NA
"AGO",1953,"country.name",NA,NA,1795,4293.84,4293.84,1795,NA,NA
"AGO",1954,"country.name",NA,NA,1720,4357.527,4357.527,1720,NA,NA
"AGO",1955,"country.name",NA,NA,1830,4423.223,4423.223,1830,NA,NA
"AGO",1956,"country.name",NA,NA,1769,4490.992,4490.992,1769,NA,NA
"AGO",1957,"country.name",NA,NA,1908,4561.361,4561.361,1908,NA,NA
"AGO",1958,"country.name",2.5,NA,1978,4635.885,4635.885,1978,2.5,NA
"AGO",1959,"country.name",NA,NA,1953,4714.676,4714.676,1953,2.5,NA
"AGO",1960,"country.name",3,NA,1997,4797.344,4797.344,1997,3,NA
"AGO",1961,"country.name",NA,NA,2225,4752.489,4752.489,2225,3,NA
"AGO",1962,"country.name",NA,NA,2128,4826.015,4826.015,2128,3,NA
"AGO",1963,"country.name",NA,NA,2200,4919.586,4919.586,2200,3,NA
"AGO",1964,"country.name",NA,NA,2407,5026.044,5026.044,2407,3,NA
"AGO",1965,"country.name",NA,NA,2544,5134.818,5134.818,2544,3,NA
"AGO",1966,"country.name",NA,NA,2646,5201.25,5201.25,2646,3,NA
"AGO",1967,"country.name",NA,NA,2753,5247.469,5247.469,2753,3,NA
"AGO",1968,"country.name",NA,NA,2665,5350.384,5350.384,2665,3,NA
"AGO",1969,"country.name",NA,NA,2695,5471.641,5471.641,2695,3,NA
"AGO",1970,"country.name",NA,NA,2818,5605.626,5605.626,2818,3,NA
"AGO",1971,"country.name",NA,NA,2754,5752.957,5752.957,2754,3,NA
"AGO",1972,"country.name",NA,NA,2729,5895.212,5895.212,2729,3,NA
"AGO",1973,"country.name",NA,NA,2852,6026.363,6026.363,2852,3,NA
