cow_code,iso3c,country_name,independence,colonial_history,global_south,year.x,workinjury_replacement_rate_temp_2020,workinjury_duration_temp_2020,workinjury_duration_perm_2020,unemployment_coverage,unemp_benefit_rate,unemp_benefit_duration,pension_replacement_rate_legal,pension_replacement_rate_min_effective,workinjury_cov_ilo,workinjury_cov_ilo_lf,pension_cov_ilo,pension_cov_ilo_lf,pratstws,pratmins,prtfulco,pcovratp,ucovratl,uratfuls,uratfulf,acovratl,azrr26si,azrr26fa,uzrr26si,uzrr26fa,pnerswsi,pnerswco,unemp_cov_ilo,slave_trade_all,year.y,e_autoc,v2x_polyarchy,v2x_libdem,v2x_delibdem,v2x_corr,e_gdppc,e_area,slave_trade_norm,africa,slave_trade_norm_log,workinjury_cov_ilo_lf_imp,workinjury_cov_ilo_lf_i
615,DZA,Algeria,1962,France,1,2020,100,unlimited,unlimited,NA,0.54375,12,58,75,25.2,60.4,36.6,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,61835,1985,0.8333333333333334,0.20744444444444443,0.1131111111111111,0.15688888888888888,0.5755555555555555,9.753666666666666,2326148.441,0.026582568382186922,1,-3.627499601991033,71.20283416756324,60.4
540,AGO,Angola,1975,Portugal,1,2020,70,unlimited,unlimited,0,NA,NA,NA,NA,22.7,30.1,64.4,85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3607020,1985,0.7,0.07344444444444444,0.046,0.025,0.5542222222222223,3.0425555555555555,1254965.956,2.874197489385919,1,1.0557735011574954,32.85214779202002,30.1
434,BEN,Benin,1960,France,1,2020,66.7,12 months,unlimited,0,NA,NA,30,60,26.4,42.2,13.2,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,456583,1985,0.7,0.10333333333333333,0.08833333333333333,0.10966666666666666,0.447,1.659888888888889,116922.187,3.9050159060059317,1,1.3622618565243092,29.40528125517975,42.2
571,BWA,Botswana,1966,UK,1,2020,50,6 months,60 months,0,NA,NA,NA,NA,34.1,52.7,7.8,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1985,0,0.6527777777777778,0.547,0.5382222222222223,0.16999999999999998,4.470777777777778,581127.216,0,1,-10,60.336703925950786,52.7
439,BFA,Burkina Faso,1960,France,1,2020,66.7,unlimited,unlimited,0,NA,NA,30,74.36,17.8,27.4,8.9,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167201,1985,0.7,0.15955555555555556,0.11,0.14655555555555555,0.3521111111111111,1.2343333333333333,274009.474,0.6102015290172047,1,-0.4939660009386877,28.775762465328633,27.4
516,BDI,Burundi,1962,Belgium,1,2020,62,6 months,unlimited,0,NA,NA,30,NA,11.8,15,11.8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,87,1985,0.6666666666666666,0.13344444444444445,0.11077777777777778,0.16577777777777777,0.3678888888888889,1.025,27367.75,0.0031789240986197257,1,-5.751212473205215,28.508968050476113,15
471,CMR,Cameroon,1960,France,1,2020,66.7,unlimited,unlimited,0,NA,NA,30,50,17.3,24.1,17.3,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66719,1985,0.7777777777777778,0.176,0.09911111111111111,0.052444444444444446,0.7307777777777777,2.9255555555555555,467816.06,0.14261801956948636,1,-1.9475854145428542,33.36820022184589,24.1
402,CPV,Cape Verde,1975,Portugal,1,2020,66.7,unlimited,unlimited,0.071,0.65,2,22,46.15,30.6,53.3,50.4,87.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1985,0.5444444444444444,0.3088888888888889,0.2667777777777778,0.23377777777777778,0.2501111111111111,1.9693333333333334,4033,0,1,-10,35.874554136624916,53.3
482,CAF,Central African Republic,1958,France,1,2020,63.8,unlimited,192 months,NA,NA,NA,40,60,4.4,6.2,4.4,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,1985,0.7,0.14144444444444446,0.08166666666666667,0.05522222222222222,0.8695555555555555,1.1937777777777778,622696.581,0.003227896316328096,1,-5.735924649186921,24.938081284931833,6.2
483,TCD,Chad,1958,France,1,2020,66.7,unlimited,unlimited,0,NA,NA,30,60,5.4,9,5.4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,528862,1985,0.7,0.08122222222222222,0.03288888888888889,0.013999999999999999,0.6961111111111111,0.9601111111111111,1161920.148,0.4551620874380431,1,-0.7871016873406435,22.143868388980646,9
581,COM,Comoros,1975,France,1,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1985,0.6888888888888889,0.20577777777777778,0.08966666666666666,0.15088888888888888,0.693,2.5126666666666666,1659,0,1,-10,35.252816327196626,35.252816327196626
484,COG,Congo - Brazzaville,1958,France,1,2020,55.6,unlimited,unlimited,0,NA,NA,47,NA,13.1,19.3,13.1,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,94663,1985,0.8,0.11355555555555556,0.033,0.07777777777777778,0.9075555555555556,3.4539999999999997,346333.854,0.2733287517425311,1,-1.2970799894499998,36.983362740295725,19.3
