iso3c,country_name,trans_atlantic,indian_ocean,trans_sahara,red_sea,slave_trade_all
AGO,Angola,3607020,0,0,0,3607020
NGA,Nigeria,1406728,0,555796,59337,2021859
GHA,Ghana,1614793,0,0,0,1614793
ETH,Ethiopia,0,200,813899,633357,1447455
SDN,Sudan,615,174,408261,454913,863962
MLI,Mali,331748,0,509950,0,841697
ZAR,Democratic Republic of Congo,759468,7047,0,0,766515
MOZ,Mozambique,382378,243484,0,0,625862
TZA,Tanzania,10834,523992,0,0,534826
TCD,Chad,823,0,409368,118673,528862
BEN,Benin,456583,0,0,0,456583
SEN,Senegal,278195,0,98731,0,376926
GIN,Guinea,350149,0,0,0,350149
TGO,Togo,289634,0,0,0,289634
GNB,Guinea-Bissau,180752,0,0,0,180752
BFA,Burkina Faso,167201,0,0,0,167201
MRT,Mauritania,417,0,164017,0,164434
MWI,Malawi,88061,37370,0,0,125431
MDG,Madagascar,36349,88927,0,0,125275
COG,Congo,94663,0,0,0,94663
KEN,Kenya,303,12306,60351,13490,86448
SLE,Sierra Leone,69607,0,0,0,69607
CMR,Cameroon,66719,0,0,0,66719
DZA,Algeria,0,0,61835,0,61835
CIV,Ivory Coast,52646,0,0,0,52646
SOM,Somalia,0,229,26194,5855,32277
ZMB,Zambia,6552,21406,0,0,27958
GAB,Gabon,27403,0,0,0,27403
GMB,Gambia,16039,0,5693,0,21731
NER,Niger,133,0,0,19779,19912
LBY,Libya,0,0,8848,0,8848
LBR,Liberia,6790,0,0,0,6790
UGA,Uganda,900,3654,0,0,4554
ZAF,South Africa,1944,87,0,0,2031
CAF,Central African Republic,2010,0,0,0,2010
EGY,Egypt,0,0,1492,0,1492
ZWE,Zimbabwe,554,536,0,0,1089
NAM,Namibia,191,0,0,0,191
BDI,Burundi,0,87,0,0,87
GNQ,Equatorial Guinea,11,0,0,0,11
DJI,Djibouti,0,5,0,0,5
BWA,Botswana,0,0,0,0,0
CPV,Cape Verde Islands,0,0,0,0,0
COM,Comoros,0,0,0,0,0
LSO,Lesotho,0,0,0,0,0
MUS,Mauritius,0,0,0,0,0
MAR,Morocco,0,0,0,0,0
RWA,Rwanda,0,0,0,0,0
STP,São Tomé and Príncipe,0,0,0,0,0
SWZ,Swaziland,0,0,0,0,0
SYC,Seychelles,0,0,0,0,0
TUN,Tunisia,0,0,0,0,0
